run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR837439	SAMN02116280	SRX273419	PRJNA201039	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/SRR837439/SRR837439.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/SRR837439
SRR837440	SAMN02116278	SRX273420	PRJNA201039	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/SRR837440/SRR837440.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/SRR837440
SRR837443	SAMN02116281	SRX273423	PRJNA201039	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/SRR837443/SRR837443.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/SRR837443
SRR837444	SAMN02116282	SRX273424	PRJNA201039	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/SRR837444/SRR837444.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/SRR837444
SRR837446	SAMN02116284	SRX273426	PRJNA201039	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/SRR837446/SRR837446.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/SRR837446
SRR837452	SAMN02116290	SRX273432	PRJNA201039	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/SRR837452/SRR837452.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/SRR837452
SRR837453	SAMN02116291	SRX273433	PRJNA201039	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/SRR837453/SRR837453.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/SRR837453
SRR837454	SAMN02116292	SRX273434	PRJNA201039	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/SRR837454/SRR837454.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/SRR837454
SRR837459	SAMN02116300	SRX273439	PRJNA201039	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/SRR837459/SRR837459.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/SRR837459
SRR837461	SAMN02116295	SRX273441	PRJNA201039	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/SRR837461/SRR837461.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/SRR837461
SRR837464	SAMN02116306	SRX273444	PRJNA201039	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/SRR837464/SRR837464.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/SRR837464
