"","X","SRR5116489.means","SRR5116490.means","SRR5116491.means","SRR5116492.means","SRR5116493.means","SRR5116494.means","SRR5116495.means","SRR5116496.means"
"1","hsa-let-7a-2-3p",3,0,0,8,2,4,11,2
"2","hsa-let-7a-3p",11,28,21,101,34,33,59,75
"3","hsa-let-7a-5p",9553,9604,13521,40803,18010,22281,32238,16252
"4","hsa-let-7b-3p",21,33,13,85,23,45,45,21
"5","hsa-let-7b-5p",1516,1774,2632,13181,3046,5137,8748,6439
"6","hsa-let-7c-3p",1,0,0,2,0,0,0,3
"7","hsa-let-7c-5p",140,131,290,768,240,324,565,488
"8","hsa-let-7d-3p",64,174,31,316,106,220,176,27
"9","hsa-let-7d-5p",832,687,944,3089,1504,1596,2935,1478
"10","hsa-let-7e-3p",10,19,14,46,11,13,31,12
"11","hsa-let-7e-5p",692,1039,821,4161,1305,2560,3129,1552
"12","hsa-let-7f-1-3p",8,13,15,46,16,16,31,18
"13","hsa-let-7f-2-3p",9,6,11,24,21,7,17,20
"14","hsa-let-7f-5p",10045,11773,13272,48008,25007,33574,37243,26036
"15","hsa-let-7g-3p",4,2,5,10,4,2,8,5
"16","hsa-let-7g-5p",957,750,1586,4077,2143,1792,3436,2361
"17","hsa-let-7i-3p",6,8,7,13,17,2,14,7
"18","hsa-let-7i-5p",3113,2876,3867,21754,8730,9641,13871,11946
"19","hsa-miR-1-3p",0,0,0,0,0,0,0,0
"20","hsa-miR-1-5p",0,0,0,0,0,0,0,0
"21","hsa-miR-100-3p",19,23,33,168,117,162,209,260
"22","hsa-miR-100-5p",3071,4080,5324,20735,8646,10943,14119,14718
"23","hsa-miR-101-2-5p",0,0,1,0,2,0,0,0
"24","hsa-miR-101-3p",262,182,362,537,592,236,534,402
"25","hsa-miR-101-5p",0,0,2,2,1,0,4,2
"26","hsa-miR-10226",0,0,0,0,0,0,0,0
"27","hsa-miR-10392-3p",0,0,0,0,0,0,0,0
"28","hsa-miR-10392-5p",0,0,0,0,0,0,0,0
"29","hsa-miR-10393-3p",0,0,0,0,0,0,0,0
"30","hsa-miR-10393-5p",0,0,0,0,0,0,0,0
"31","hsa-miR-10394-3p",0,0,0,0,0,0,0,0
"32","hsa-miR-10394-5p",0,0,0,0,0,0,0,0
"33","hsa-miR-10395-3p",2,1,0,0,1,0,0,0
"34","hsa-miR-10395-5p",0,0,0,0,0,0,0,0
"35","hsa-miR-10396a-3p",0,0,0,0,0,0,0,0
"36","hsa-miR-10396a-5p",0,0,1,0,0,0,0,0
"37","hsa-miR-10396b-3p",3,0,0,2,3,2,0,1
