"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","names"
"hsa-miR-197-3p",37.8525004929825,-1.73223054557673,0.502706052697162,-3.44581199347575,0.000569346316661186,0.0317695244696942,"miR-197-3p"
"hsa-miR-328-3p",14.4529349398317,-1.66266634228568,0.539924265337572,-3.07944363501823,0.00207387608712486,0.0826587754725481,"miR-328-3p"
"hsa-miR-1249-3p",13.0993975354782,-2.1644425942911,0.734878861338757,-2.94530528521129,0.00322636149874846,0.0930903498065662,"miR-1249-3p"
"hsa-miR-193b-3p",464.063658987467,-1.7155798221915,0.572357063933102,-2.99739433702879,0.00272298234907899,0.0930903498065662,"miR-193b-3p"
"hsa-miR-3065-3p",19.1497970808769,-1.3138226408863,0.462715054027676,-2.83937734346486,0.00452016691223279,0.102501870118711,"miR-3065-3p"
"hsa-miR-3615",18.3707169082642,-1.38482836354934,0.519307897280447,-2.66668073180001,0.00766044056906532,0.126310743933388,"miR-3615"
"hsa-miR-34b-3p",15.3383901842337,-1.72899194437124,0.802714442782005,-2.15393152561076,0.0312455422196551,0.281499701399685,"miR-34b-3p"
"hsa-miR-10401-3p",10.6287683411655,-1.48821596958844,0.74206077716745,-2.00551762790801,0.0449077381335788,NA,"miR-10401-3p"
"hsa-miR-1260a",7.85750653893941,-2.19844712934749,0.904505204826633,-2.43055221530634,0.015075833604859,NA,"miR-1260a"
"hsa-miR-210-5p",6.66556496119587,-2.58943387604795,1.02143674663556,-2.53508979834248,0.0112418504192475,NA,"miR-210-5p"
"hsa-miR-2116-3p",12.6629639107585,-1.3681658955715,0.594039738266238,-2.30315550869479,0.0212700950796882,NA,"miR-2116-3p"
"hsa-miR-664a-5p",3.41549294342299,-2.22392916142696,1.05467323630927,-2.1086428334992,0.0349754226905878,NA,"miR-664a-5p"
