"","SRR5116489.means","SRR5116490.means","SRR5116491.means","SRR5116492.means","SRR5116493.means","SRR5116494.means","SRR5116495.means","SRR5116496.means"
"hsa-let-7a-2-3p",3,0,0,8,2,4,11,2
"hsa-let-7a-3p",11,28,21,101.5,34,33,59,75
"hsa-let-7a-5p",9553,9604,13521,40803.6666666667,18010.6666666667,22281.3333333333,32238,16252
"hsa-let-7b-3p",21,33,13,85,23,45,45,21
"hsa-let-7b-5p",1516,1774,2632,13181,3046,5137,8748,6439
"hsa-let-7c-3p",1,0,0,2,0,0,0,3
"hsa-let-7c-5p",140,131,290,768,240,324,565,488
"hsa-let-7d-3p",64,174,31,316,106,220,176,27
"hsa-let-7d-5p",832,687,944,3089,1504,1596,2935,1478
"hsa-let-7e-3p",10,19,14,46,11,13,31,12
"hsa-let-7e-5p",692,1039,821,4161,1305,2560,3129,1552
"hsa-let-7f-1-3p",8,13,15,46,16,16,31,18
"hsa-let-7f-2-3p",9,6,11,24,21,7,17,20
"hsa-let-7f-5p",10045,11773.5,13272.5,48008.5,25007,33574,37243.5,26036
"hsa-let-7g-3p",4,2,5,10,4,2,8,5
"hsa-let-7g-5p",957,750,1586,4077,2143,1792,3436,2361
"hsa-let-7i-3p",6,8,7,13,17,2,14,7
"hsa-let-7i-5p",3113,2876,3867,21754,8730,9641,13871,11946
"hsa-miR-1-3p",0,0,0,0,0,0,0,0
"hsa-miR-1-5p",0,0,0,0,0,0,0,0
"hsa-miR-100-3p",19,23,33,168,117,162,209,260
"hsa-miR-100-5p",3071,4080,5324,20735,8646,10943,14119,14718
"hsa-miR-101-2-5p",0,0,1,0,2,0,0,0
"hsa-miR-101-3p",262,182,362,537.5,592,236,534,402
"hsa-miR-101-5p",0,0,2,2,1,0,4,2
"hsa-miR-10226",0,0,0,0,0,0,0,0
"hsa-miR-10392-3p",0,0,0,0,0,0,0,0
"hsa-miR-10392-5p",0,0,0,0,0,0,0,0
"hsa-miR-10393-3p",0,0,0,0,0,0,0,0
"hsa-miR-10393-5p",0,0,0,0,0,0,0,0
"hsa-miR-10394-3p",0,0,0,0,0,0,0,0
"hsa-miR-10394-5p",0,0,0,0,0,0,0,0
"hsa-miR-10395-3p",2,1,0,0,1,0,0,0
"hsa-miR-10395-5p",0,0,0,0,0,0,0,0
"hsa-miR-10396a-3p",0,0,0,0,0,0,0,0
"hsa-miR-10396a-5p",0,0,1,0.5,0,0,0,0
"hsa-miR-10396b-3p",3,0,0,2,3,2,0,1
"hsa-miR-10396b-5p",0,0,1,1,0,0,0,0
"hsa-miR-10397-3p",0,0,0,0,0,0,0,0
"hsa-miR-10397-5p",0,0,0,0,0,0,0,0
"hsa-miR-10398-3p",0,0,0,0,0,0,0,0
"hsa-miR-10398-5p",0,0,0,0,0,0,0,0
"hsa-miR-10399-3p",8,2,2,13,8,14,15,10
"hsa-miR-10399-5p",2,0,8,10,8,5,6,11
"hsa-miR-103a-1-5p",0,0,0,0,0,0,0,0
"hsa-miR-103a-2-5p",0,1,0,2,1,1,0,1
"hsa-miR-103a-3p",1961.5,1421.5,2654.5,5168.5,3055.5,2405,4996,2615.5
"hsa-miR-103b",0,0,0,0,0,0,0,0
"hsa-miR-10400-3p",0,0,0,0,0,0,0,0
"hsa-miR-10400-5p",0,0,0,0,0,0,0,0
"hsa-miR-10401-3p",12,8,11,28,6,2,9,6
"hsa-miR-10401-5p",0,0,0,0,0,0,0,0
"hsa-miR-105-3p",0,0,0,0,0,0,0,0
"hsa-miR-105-5p",0,0,0,0,0,0,0,0
"hsa-miR-10522-5p",0,0,0,0,0,0,0,0
"hsa-miR-10523-5p",0,0,0,4,2,0,1,4
"hsa-miR-10524-5p",0,0,0,0,0,0,0,0
"hsa-miR-10525-3p",0,0,0,0,0,0,0,0
"hsa-miR-10526-3p",0,0,0,0,0,0,0,0
"hsa-miR-10527-5p",0,4,1,3,0,3,2,5
"hsa-miR-106a-3p",0,0,0,0,0,0,0,1
"hsa-miR-106a-5p",1,0,8,34,2,4,8,25
"hsa-miR-106b-3p",109,77,138,440,303,283,426,258
"hsa-miR-106b-5p",69,44,120,296,257,167,374,253
"hsa-miR-107",346,190,368,702,514,402,780,364
"hsa-miR-10a-3p",1,1,0,5,0,0,0,1
"hsa-miR-10a-5p",71,235,159,2382,218,386,530,2064
"hsa-miR-10b-3p",0,1,2,5,1,3,2,2
"hsa-miR-10b-5p",1455,1448,4049,7603,3411,2494,4372,6228
"hsa-miR-11181-3p",0,0,0,0,0,0,0,0
"hsa-miR-11181-5p",0,0,0,0,0,0,0,0
"hsa-miR-11399",0,0,0,0,0,0,0,1
"hsa-miR-11400",0,0,0,0,0,0,0,0
"hsa-miR-11401",0,0,0,0,0,0,0,0
"hsa-miR-1178-3p",0,0,0,0,0,0,0,0
"hsa-miR-1178-5p",0,0,0,0,0,0,0,0
"hsa-miR-1179",0,0,0,0,0,0,0,0
"hsa-miR-1180-3p",16,15,10,111,15,59,76,50
"hsa-miR-1180-5p",0,1,1,2,0,0,0,1
"hsa-miR-1181",0,0,0,0,0,0,0,0
"hsa-miR-1182",0,0,0,0,0,0,0,0
"hsa-miR-1183",0,0,0,0,0,0,0,0
