"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","names"
"hsa-miR-211-5p",74.2791337542201,19.5833555658186,5.33350174509035,3.67176322457299,0.000240882804456724,0.0913748771572506,"miR-211-5p"
"hsa-miR-335-3p",357.43949823882,3.5594654632877,0.959130722705963,3.71113694830409,0.000206330433407831,0.0913748771572506,"miR-335-3p"
"hsa-miR-335-5p",178.640522749378,2.86809263732389,0.743324698596279,3.85846540918135,0.000114101212768107,0.0913748771572506,"miR-335-5p"
"hsa-miR-146a-5p",70.1719803810367,18.7708688723368,5.33352217705597,3.51941329748028,0.000432502374831875,0.0984375405117347,"miR-146a-5p"
"hsa-miR-155-5p",512.215383135331,2.40692563086257,0.680323682819317,3.53791245497742,0.000403303751875158,0.0984375405117347,"miR-155-5p"
"hsa-miR-19a-3p",157.961441879706,2.25639472546395,0.694050280699209,3.25105368906528,0.00114978142722829,0.218075210697633,"miR-19a-3p"
"hsa-miR-16-5p",6991.65505043309,1.31680137833437,0.419414538443312,3.13961786642345,0.00169168346014278,0.275019396806068,"miR-16-5p"
"hsa-miR-15b-5p",189.960704545113,1.44255806199767,0.475614866505064,3.03303820714845,0.00242104945024866,0.344394284297872,"miR-15b-5p"
"hsa-miR-7974",90.2531778973778,2.46324927098984,0.826575829785997,2.98006448074774,0.00288187713461294,0.364397353243281,"miR-7974"
"hsa-miR-221-5p",913.350233354733,1.28347022460938,0.450999448033572,2.84583546655214,0.00442950753505871,0.504077957489681,"miR-221-5p"
"hsa-miR-146b-5p",75.2988060665926,2.38705394935097,0.897203815007865,2.66054814906248,0.00780135721079269,0.739828708823506,"miR-146b-5p"
"hsa-miR-363-3p",109.546105298328,8.22281415981321,3.05860855769859,2.68841664590135,0.00717917569393112,0.739828708823506,"miR-363-3p"
"hsa-miR-19b-3p",423.918601240131,1.60896429007459,0.627544990226224,2.56390269245011,0.0103502557659738,0.841327932977016,"miR-19b-3p"
"hsa-miR-9-5p",20.1213242158059,5.78821177910665,2.25750299203975,2.56398853047666,0.0103476963932263,0.841327932977016,"miR-9-5p"
"hsa-miR-100-3p",116.319889579335,1.53880115591756,0.758929005833527,2.02759565662866,0.0426015326684914,0.999251408003581,"miR-100-3p"
"hsa-miR-10a-5p",590.727795878846,2.00255799659476,0.998757367510264,2.00504953629208,0.0449577515646067,0.999251408003581,"miR-10a-5p"
"hsa-miR-29b-1-5p",27.5611831913682,2.17310724279605,1.09227253109793,1.98952841980901,0.0466429081199955,0.999251408003581,"miR-29b-1-5p"
"hsa-miR-30c-1-3p",35.461899179599,1.76801880406855,0.872317383247277,2.02680679993667,0.0426821747801228,0.999251408003581,"miR-30c-1-3p"
"hsa-miR-342-5p",8.67874183879341,4.57521741275357,2.24136730354606,2.04126178048334,0.0412248138130797,0.999251408003581,"miR-342-5p"
"hsa-miR-409-3p",58.7894625864312,2.85006535948937,1.36051953389934,2.09483604496356,0.0361855697014532,0.999251408003581,"miR-409-3p"
