"","X.miRNA","means"
"1","hsa-let-7a-2-3p",2
"2","hsa-let-7a-3p",75
"3","hsa-let-7a-5p",16252
"4","hsa-let-7b-3p",21
"5","hsa-let-7b-5p",6439
"6","hsa-let-7c-3p",3
"7","hsa-let-7c-5p",488
"8","hsa-let-7d-3p",27
"9","hsa-let-7d-5p",1478
"10","hsa-let-7e-3p",12
"11","hsa-let-7e-5p",1552
"12","hsa-let-7f-1-3p",18
"13","hsa-let-7f-2-3p",20
"14","hsa-let-7f-5p",26036
"15","hsa-let-7g-3p",5
"16","hsa-let-7g-5p",2361
"17","hsa-let-7i-3p",7
"18","hsa-let-7i-5p",11946
"19","hsa-miR-1-3p",0
"20","hsa-miR-1-5p",0
"21","hsa-miR-100-3p",260
"22","hsa-miR-100-5p",14718
"23","hsa-miR-101-2-5p",0
"24","hsa-miR-101-3p",402
"25","hsa-miR-101-5p",2
"26","hsa-miR-10226",0
"27","hsa-miR-10392-3p",0
"28","hsa-miR-10392-5p",0
"29","hsa-miR-10393-3p",0
"30","hsa-miR-10393-5p",0
"31","hsa-miR-10394-3p",0
"32","hsa-miR-10394-5p",0
"33","hsa-miR-10395-3p",0
"34","hsa-miR-10395-5p",0
"35","hsa-miR-10396a-3p",0
"36","hsa-miR-10396a-5p",0
"37","hsa-miR-10396b-3p",1
"38","hsa-miR-10396b-5p",0
"39","hsa-miR-10397-3p",0
"40","hsa-miR-10397-5p",0
"41","hsa-miR-10398-3p",0
"42","hsa-miR-10398-5p",0
"43","hsa-miR-10399-3p",10
"44","hsa-miR-10399-5p",11
"45","hsa-miR-103a-1-5p",0
"46","hsa-miR-103a-2-5p",1
"47","hsa-miR-103a-3p",2615.5
"48","hsa-miR-103b",0
"49","hsa-miR-10400-3p",0
"50","hsa-miR-10400-5p",0
"51","hsa-miR-10401-3p",6
"52","hsa-miR-10401-5p",0
"53","hsa-miR-105-3p",0
"54","hsa-miR-105-5p",0
"55","hsa-miR-10522-5p",0
"56","hsa-miR-10523-5p",4
"57","hsa-miR-10524-5p",0
"58","hsa-miR-10525-3p",0
"59","hsa-miR-10526-3p",0
"60","hsa-miR-10527-5p",5
"61","hsa-miR-106a-3p",1
"62","hsa-miR-106a-5p",25
"63","hsa-miR-106b-3p",258
"64","hsa-miR-106b-5p",253
"65","hsa-miR-107",364
"66","hsa-miR-10a-3p",1
"67","hsa-miR-10a-5p",2064
"68","hsa-miR-10b-3p",2
"69","hsa-miR-10b-5p",6228
"70","hsa-miR-11181-3p",0
"71","hsa-miR-11181-5p",0
"72","hsa-miR-11399",1
"73","hsa-miR-11400",0
"74","hsa-miR-11401",0
"75","hsa-miR-1178-3p",0
"76","hsa-miR-1178-5p",0
"77","hsa-miR-1179",0
"78","hsa-miR-1180-3p",50
"79","hsa-miR-1180-5p",1
"80","hsa-miR-1181",0
"81","hsa-miR-1182",0
"82","hsa-miR-1183",0
"83","hsa-miR-1184",0
"84","hsa-miR-1185-1-3p",5
"85","hsa-miR-1185-2-3p",0
"86","hsa-miR-1185-5p",2
"87","hsa-miR-1193",0
"88","hsa-miR-1197",0
"89","hsa-miR-1199-3p",0
"90","hsa-miR-1199-5p",0
"91","hsa-miR-1200",0
"92","hsa-miR-1202",0
"93","hsa-miR-1203",0
"94","hsa-miR-1204",0
"95","hsa-miR-1205",0
"96","hsa-miR-1206",0
"97","hsa-miR-1207-3p",0
"98","hsa-miR-1207-5p",0
"99","hsa-miR-1208",0
"100","hsa-miR-12113",0
"101","hsa-miR-12114",0
"102","hsa-miR-12115",0
"103","hsa-miR-12116",0
"104","hsa-miR-12117",0
"105","hsa-miR-12118",0
"106","hsa-miR-12119",0
"107","hsa-miR-12120",0
"108","hsa-miR-12121",0
"109","hsa-miR-12122",0
"110","hsa-miR-12123",0
"111","hsa-miR-12124",0
