run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR5116485	SAMN06159663	SRX2431853	PRJNA357712	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/005/SRR5116485/SRR5116485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/005/SRR5116485/SRR5116485_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR511/005/SRR5116485
SRR5116487	SAMN06159661	SRX2431855	PRJNA357712	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/007/SRR5116487/SRR5116487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/007/SRR5116487/SRR5116487_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR511/007/SRR5116487
SRR5116491	SAMN06159657	SRX2431859	PRJNA357712	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/001/SRR5116491/SRR5116491.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR511/001/SRR5116491
SRR5116492	SAMN06159656	SRX2431860	PRJNA357712	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/002/SRR5116492/SRR5116492.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR511/002/SRR5116492
SRR5116496	SAMN06159652	SRX2431864	PRJNA357712	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/006/SRR5116496/SRR5116496.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR511/006/SRR5116496
SRR5116489	SAMN06159659	SRX2431857	PRJNA357712	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/009/SRR5116489/SRR5116489.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR511/009/SRR5116489
SRR5116490	SAMN06159658	SRX2431858	PRJNA357712	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/000/SRR5116490/SRR5116490.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR511/000/SRR5116490
SRR5116493	SAMN06159655	SRX2431861	PRJNA357712	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/003/SRR5116493/SRR5116493.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR511/003/SRR5116493
SRR5116494	SAMN06159654	SRX2431862	PRJNA357712	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/004/SRR5116494/SRR5116494.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR511/004/SRR5116494
SRR5116495	SAMN06159653	SRX2431863	PRJNA357712	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/005/SRR5116495/SRR5116495.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR511/005/SRR5116495
SRR5116486	SAMN06159662	SRX2431854	PRJNA357712	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/006/SRR5116486/SRR5116486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/006/SRR5116486/SRR5116486_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR511/006/SRR5116486
SRR5116488	SAMN06159660	SRX2431856	PRJNA357712	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/008/SRR5116488/SRR5116488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR511/008/SRR5116488/SRR5116488_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR511/008/SRR5116488
