"","X","SRR837437.means","SRR837438.means","SRR837439.means","SRR837440.means","SRR837441.means","SRR837442.means","SRR837443.means","SRR837444.means","SRR837445.means","SRR837446.means","SRR837447.means","SRR837448.means","SRR837449.means","SRR837450.means","SRR837451.means","SRR837452.means","SRR837453.means","SRR837454.means","SRR837455.means","SRR837456.means","SRR837457.means","SRR837458.means","SRR837459.means","SRR837460.means","SRR837461.means","SRR837462.means","SRR837463.means","SRR837464.means","SRR837465.means","SRR837466.means","SRR837467.means","SRR837468.means","SRR837469.means","SRR837470.means","SRR837471.means","SRR837472.means","SRR837473.means","SRR837474.means","SRR837475.means","SRR837476.means","SRR837477.means","SRR837478.means","SRR837479.means","SRR837480.means","SRR837481.means","SRR837482.means","SRR837483.means","SRR837484.means","SRR837485.means","SRR837486.means","SRR837487.means","SRR837488.means","SRR837489.means","SRR837490.means","SRR837491.means","SRR837492.means","SRR837493.means","SRR837494.means","SRR837495.means","SRR837496.means","SRR837497.means","SRR837498.means","SRR837499.means","SRR837500.means","SRR837501.means","SRR837502.means","SRR837503.means","SRR837504.means","SRR837505.means","SRR837506.means"
"1","hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","hsa-let-7a-3p",1,8,8,4,11,2,1,5,3,2,13,35,7,37,1,5,3,3,11,29,4,10,3,1,2,6,4,0,9,29,0,2,26,9,4,1,11,5,2,5,3,3,2,6,1,0,1,5,9,0,5,1,6,18,31,19,2,0,8,7,4,5,50,30,1,5,7,6,1,0
"3","hsa-let-7a-5p",4722,4406,4406,8148,6333,7314,4774,3465,10381,6179,15134,37235,8207,13111,4010,11585,1611,2789,14074,18118,2168,39865,2237,2938,5056,4363,5657,1530,8441,24932,2381,6903,5780,10030,15452,8722,24668,7541,8516,5852,13507,5693,4913,7545,10121,4933,36219,8379,17069,9950,7397,4056,8033,9234,8813,14591,4132,1698,12243,8097,5059,7607,46324,20829,1152,4845,11608,5379,6316,3
"4","hsa-let-7b-3p",55,37,37,44,70,17,48,47,24,37,145,145,88,72,30,56,19,40,114,106,20,17,26,21,71,83,72,29,80,152,83,42,98,84,10,6,15,22,22,17,32,49,37,51,22,4,35,22,38,45,20,5,51,65,104,34,26,14,47,27,30,32,187,291,4,36,27,61,36,0
"5","hsa-let-7b-5p",968,292,292,526,440,3702,517,236,1352,576,1790,29415,643,13347,446,3444,521,193,1176,2625,170,30784,216,285,900,1099,651,240,1086,41022,527,1281,695,9501,2014,1276,4919,1283,1294,624,4415,6299,2064,3414,506,697,5835,1569,998,4113,1316,833,720,682,1181,6838,316,133,1403,3484,991,306,11199,3634,186,359,2634,472,632,0
"6","hsa-let-7c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","hsa-let-7c-5p",18,14,14,26,14,41,19,20,42,21,364,977,191,329,93,242,32,70,57,80,57,248,38,18,33,31,33,7,22,204,10,32,21,49,51,33,103,32,32,19,49,22,17,23,64,27,1929,484,938,553,398,224,27,25,37,81,10,6,48,35,32,27,247,102,9,12,51,120,150,1
"8","hsa-let-7d-3p",229,403,403,451,494,205,320,324,157,229,441,780,339,626,404,519,213,310,284,410,452,755,415,542,929,1014,692,515,578,786,440,978,858,662,106,122,303,126,125,106,242,335,161,164,168,158,554,307,444,337,189,88,252,314,640,381,261,224,204,104,85,259,642,663,104,126,75,786,922,1
"9","hsa-let-7d-5p",396,394,394,662,535,632,421,384,870,477,1240,2424,745,1733,292,975,120,148,1077,1607,175,3437,176,202,484,480,542,189,649,2380,241,554,590,1030,831,435,1058,517,503,334,868,397,328,531,681,576,2505,696,914,1092,540,274,611,589,609,1299,241,129,569,534,249,514,2994,1778,75,339,603,667,693,0
"10","hsa-let-7e-3p",1,2,2,3,0,0,0,0,0,2,3,2,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
