"X","SRR837437","SRR837438","SRR837439","SRR837440","SRR837441","SRR837442","SRR837443","SRR837444","SRR837445","SRR837446","SRR837447","SRR837448","SRR837449","SRR837450","SRR837451","SRR837452","SRR837453","SRR837454","SRR837455","SRR837456","SRR837457","SRR837458","SRR837459","SRR837460","SRR837461","SRR837462","SRR837463","SRR837464","SRR837465","SRR837466","SRR837467","SRR837468","SRR837469","SRR837470","SRR837471","SRR837472","SRR837473","SRR837474","SRR837475","SRR837476","SRR837477","SRR837478","SRR837479","SRR837480","SRR837481","SRR837482","SRR837483","SRR837484","SRR837485","SRR837486","SRR837487","SRR837488","SRR837489","SRR837490","SRR837491","SRR837492","SRR837493","SRR837494","SRR837495","SRR837496","SRR837497","SRR837498","SRR837499","SRR837500","SRR837501","SRR837502","SRR837503","SRR837504","SRR837505","SRR837506"
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-3p",1,8,8,4,11,2,1,5,3,2,13,35,7,37,1,5,3,3,11,29,4,10,3,1,2,6,4,0,9,29,0,2,26,9,4,1,11,5,2,5,3,3,2,6,1,0,1,5,9,0,5,1,6,18,31,19,2,0,8,7,4,5,50,30,1,5,7,6,1,0
"hsa-let-7a-5p",4722,4406,4406,8148,6333,7314,4774,3465,10381,6179,15134,37235,8207,13111,4010,11585,1611,2789,14074,18118,2168,39865,2237,2938,5056,4363,5657,1530,8441,24932,2381,6903,5780,10030,15452,8722,24668,7541,8516,5852,13507,5693,4913,7545,10121,4933,36219,8379,17069,9950,7397,4056,8033,9234,8813,14591,4132,1698,12243,8097,5059,7607,46324,20829,1152,4845,11608,5379,6316,3
"hsa-let-7b-3p",55,37,37,44,70,17,48,47,24,37,145,145,88,72,30,56,19,40,114,106,20,17,26,21,71,83,72,29,80,152,83,42,98,84,10,6,15,22,22,17,32,49,37,51,22,4,35,22,38,45,20,5,51,65,104,34,26,14,47,27,30,32,187,291,4,36,27,61,36,0
"hsa-let-7b-5p",968,292,292,526,440,3702,517,236,1352,576,1790,29415,643,13347,446,3444,521,193,1176,2625,170,30784,216,285,900,1099,651,240,1086,41022,527,1281,695,9501,2014,1276,4919,1283,1294,624,4415,6299,2064,3414,506,697,5835,1569,998,4113,1316,833,720,682,1181,6838,316,133,1403,3484,991,306,11199,3634,186,359,2634,472,632,0
"hsa-let-7c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7c-5p",18,14,14,26,14,41,19,20,42,21,364,977,191,329,93,242,32,70,57,80,57,248,38,18,33,31,33,7,22,204,10,32,21,49,51,33,103,32,32,19,49,22,17,23,64,27,1929,484,938,553,398,224,27,25,37,81,10,6,48,35,32,27,247,102,9,12,51,120,150,1
"hsa-let-7d-3p",229,403,403,451,494,205,320,324,157,229,441,780,339,626,404,519,213,310,284,410,452,755,415,542,929,1014,692,515,578,786,440,978,858,662,106,122,303,126,125,106,242,335,161,164,168,158,554,307,444,337,189,88,252,314,640,381,261,224,204,104,85,259,642,663,104,126,75,786,922,1
"hsa-let-7d-5p",396,394,394,662,535,632,421,384,870,477,1240,2424,745,1733,292,975,120,148,1077,1607,175,3437,176,202,484,480,542,189,649,2380,241,554,590,1030,831,435,1058,517,503,334,868,397,328,531,681,576,2505,696,914,1092,540,274,611,589,609,1299,241,129,569,534,249,514,2994,1778,75,339,603,667,693,0
"hsa-let-7e-3p",1,2,2,3,0,0,0,0,0,2,3,2,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"hsa-let-7e-5p",23,13,13,28,27,15,18,13,30,20,56,134,45,44,17,54,3,8,50,60,7,136,8,10,18,19,19,7,29,86,11,32,30,45,48,38,96,29,33,21,38,25,12,21,25,12,103,29,39,33,24,10,27,27,52,57,18,5,42,24,16,36,135,60,4,11,20,18,22,0
"hsa-let-7f-1-3p",7,6,6,9,10,1,4,4,3,5,12,16,7,14,3,1,3,1,18,13,0,3,0,1,4,11,6,1,9,13,6,1,13,6,2,1,5,2,3,5,6,3,2,1,2,1,2,4,7,1,2,0,6,14,19,2,0,2,4,5,4,7,49,29,0,0,7,5,3,0
"hsa-let-7f-2-3p",0,0,0,0,0,0,0,1,1,0,3,3,1,2,0,0,0,0,1,5,1,0,0,0,0,0,0,0,1,5,0,0,2,2,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,4,1,0,0,0,1,2,0,8,0,0,2,1,1,0,0
"hsa-let-7f-5p",1897,3236,3236,3949,4339,3278,2493,2344,7231,3860,8111,17142,5442,6664,1428,4880,567,834,5620,6515,1109,15335,681,1079,1761,2042,2192,500,4158,13636,998,2340,2791,4617,9382,5010,19877,4564,7977,4311,7516,2457,2424,2223,7432,3050,27275,5545,10239,3067,5230,2467,6264,9604,12602,7854,2827,910,10210,5238,2150,2859,35481,14413,387,2675,7291,3015,3319,0
"hsa-let-7g-3p",0,1,1,0,1,0,1,0,0,0,1,5,2,2,0,0,2,0,4,1,0,4,0,0,0,1,0,0,1,9,0,1,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,2,1,0,0,1,4,0,0,5,2,0,1,0,1,0,0
"hsa-let-7g-5p",885,1146,1146,1329,1408,1846,762,743,2500,1458,4197,18148,2368,5019,654,3093,268,368,4121,3593,276,11956,244,387,941,917,971,201,1431,8818,404,949,1091,2121,4314,2883,7347,2198,3472,1449,3651,1220,1420,994,3287,1135,15881,2414,4342,2066,2158,1140,2463,3397,4068,6401,765,273,3072,2272,1142,953,15865,6779,136,1111,3416,796,591,1
"hsa-let-7i-3p",40,36,36,30,37,57,31,48,80,23,140,408,84,216,32,96,15,24,153,214,10,246,15,16,34,99,81,38,62,342,37,20,67,123,87,74,88,61,59,46,80,65,28,16,19,7,103,18,29,39,14,8,37,52,72,214,40,19,71,71,53,55,323,246,6,37,69,47,9,0
