"Run","type"
"SRR837437",1
"SRR837438",1
"SRR837439",1
"SRR837440",1
"SRR837441",1
"SRR837442",1
"SRR837443",1
"SRR837444",1
"SRR837445",1
"SRR837446",1
"SRR837447",1
"SRR837448",1
"SRR837449",1
"SRR837450",1
"SRR837451",1
"SRR837452",1
"SRR837453",1
"SRR837456",1
"SRR837459",1
"SRR837460",1
"SRR837461",1
"SRR837465",1
"SRR837466",1
"SRR837467",1
"SRR837468",1
"SRR837469",1
"SRR837470",1
"SRR837471",0
"SRR837473",0
"SRR837477",0
"SRR837478",0
"SRR837481",0
"SRR837482",0
"SRR837485",0
"SRR837488",0
"SRR837489",0
"SRR837492",0
"SRR837493",1
"SRR837494",1
"SRR837495",1
"SRR837496",1
"SRR837497",1
"SRR837498",1
"SRR837499",1
"SRR837500",1
"SRR837501",1
"SRR837502",1
"SRR837503",1
"SRR837504",1
"SRR837505",1
"SRR837506",1
"SRR837472",0
"SRR837462",1
"SRR837479",0
"SRR837490",0
"SRR837491",0
"SRR837463",1
"SRR837480",0
"SRR837483",0
"SRR837486",0
"SRR837476",0
"SRR837454",1
"SRR837458",1
"SRR837464",1
"SRR837487",0
"SRR837474",0
"SRR837475",0
"SRR837455",1
"SRR837457",1
"SRR837484",0
