"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","names"
"hsa-miR-1468-5p",67.9529395841669,1.37521741547912,0.247820574975828,5.54924632715929,2.86903707148824e-08,2.80209287315352e-06,"miR-1468-5p"
"hsa-miR-26b-3p",59.5782214600714,1.06245716019891,0.195598785072793,5.43181881116242,5.57825470811302e-08,3.78584753714722e-06,"miR-26b-3p"
"hsa-miR-4781-3p",16.1660606786944,1.04541352203666,0.192723709966481,5.42441572040346,5.81444160995306e-08,3.78584753714722e-06,"miR-4781-3p"
"hsa-let-7d-3p",401.324049737421,1.0568278344522,0.260793444639162,4.05235582479632,5.07044705151362e-05,0.000938366566479461,"let-7d-3p"
"hsa-miR-3127-3p",5.62790857800107,1.31741274516372,0.332795102376274,3.9586302074668,7.53808424822284e-05,0.00120289817872339,"miR-3127-3p"
"hsa-miR-6505-3p",2.04575284450117,1.54603793453981,0.456400683794735,3.3874575333352,0.000705436371462794,0.00656167799487615,"miR-6505-3p"
"hsa-miR-6762-3p",3.39186690854159,1.21359416351977,0.388500242034271,3.1237925545815,0.00178536280645917,0.0135873065530529,"miR-6762-3p"
"hsa-miR-5006-3p",2.52788017750474,1.05746776037572,0.348256756785772,3.0364601397417,0.0023937375603115,0.0166991691707445,"miR-5006-3p"
"hsa-miR-4661-5p",2.71094841101486,1.21104000197341,0.442043029386183,2.73964279824761,0.00615059897706512,0.037544281255835,"miR-4661-5p"
"hsa-miR-561-5p",1.11900420390223,2.06921400973115,0.771089157921435,2.68349514251889,0.00728570335869978,0.0426942216819807,"miR-561-5p"
"hsa-miR-23c",1.73782000127282,2.90103851720579,1.09126730207071,2.6584123905307,0.00785097598605487,0.0442625348771972,"miR-23c"
"hsa-miR-5701",4.39856936023651,1.21525619804106,0.458840425332097,2.6485377724979,0.00808408147540664,0.0451168737579837,"miR-5701"
"hsa-miR-7155-3p",1.74014052538778,1.17301968708454,0.448077032498451,2.61789737479703,0.00884734088013235,0.0484536612687622,"miR-7155-3p"
"hsa-miR-758-3p",0.735960730144942,1.70743841213678,0.659210543358678,2.59012606721576,0.00959407899877895,0.050368026429793,"miR-758-3p"
"hsa-miR-6754-3p",2.82508590720325,1.0479970555367,0.421813273879018,2.48450468592242,0.0129731800751354,0.0638847354960448,"miR-6754-3p"
"hsa-miR-4772-3p",1.17939731996903,1.38051009306833,0.572496856182246,2.41138458344454,0.0158920808936008,0.0739107889178576,"miR-4772-3p"
"hsa-miR-6866-3p",1.31901327886824,1.24414953212174,0.525260340337496,2.36863405929779,0.0178539087030449,0.0792605340907904,"miR-6866-3p"
"hsa-miR-1908-3p",1.18260906737095,1.24423746078944,0.55080543257516,2.25894188256696,0.0238870002652112,0.0965364286580261,"miR-1908-3p"
"hsa-miR-1233-3p",2.59347882874753,1.0012182840073,0.446330614872622,2.24322116978921,0.0248825558107628,0.0991916850687552,"miR-1233-3p"
"hsa-miR-103a-2-5p",0.997542252298384,1.33092903145527,0.66394594526722,2.00457437980076,0.0450085678756914,0.15556180614548,"miR-103a-2-5p"
"hsa-miR-3180-5p",1.57389406698806,1.10066056720969,0.558311011884901,1.97141117366425,0.048676864017607,0.16485988459735,"miR-3180-5p"
