"","X.1","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X1","X2"
"2",12,"MSTRG.4056|CELF2-DT",51.1870028834144,-2.04669903055803,0.226246023762706,-9.04634254569124,1.47837157583294e-19,5.44558169958062e-16,"MSTRG.4056","CELF2-DT"
"4",14,"MSTRG.34107|NDUFAF4",647.925315847015,-1.24767029913781,0.140093338669442,-8.90599303998141,5.29102484967173e-19,1.67052771717993e-15,"MSTRG.34107","NDUFAF4"
"5",20,"MSTRG.32899|NRN1",2179.97923377453,-1.30842587026487,0.152473206976041,-8.58134944633563,9.37665538004259e-18,2.06045918975232e-14,"MSTRG.32899","NRN1"
"7",24,"MSTRG.12140|MOAP1",2400.01118201926,-1.30580612497212,0.153028999971259,-8.53306317898812,1.42522803158626e-17,2.55453728642789e-14,"MSTRG.12140","MOAP1"
"9",29,"MSTRG.31106|OXCT1",2077.73549553862,-1.20834244201135,0.143490821396847,-8.42104345245527,3.73145830291276e-17,5.55972646842818e-14,"MSTRG.31106","OXCT1"
"11",35,"MSTRG.34672|PPP1R14C",207.106886628784,-1.05993103203938,0.128382401260794,-8.25604616855744,1.50577399853e-16,1.87768707341606e-13,"MSTRG.34672","PPP1R14C"
"19",51,"MSTRG.37950|STAU2",1309.00846606084,-1.30085526996587,0.162005650683837,-8.02969072050803,9.77186919870619e-16,8.46933651610217e-13,"MSTRG.37950","STAU2"
"25",64,"MSTRG.762|FABP3",781.910858564036,-1.57379213611566,0.199072289061647,-7.90563138412649,2.6657893760449e-15,1.84114409374901e-12,"MSTRG.762","FABP3"
"32",76,"MSTRG.17770|JPT1",893.825357961792,-1.19551305579605,0.153155881833621,-7.80585793691414,5.9098121597291e-15,3.43717785637297e-12,"MSTRG.17770","JPT1"
"35",87,"MSTRG.23864|PID1",896.998894976801,-1.20543344341899,0.156704137190477,-7.69241619928488,1.44382047536e-14,7.33560375308766e-12,"MSTRG.23864","PID1"
"36",88,"MSTRG.34629|SAMD5",69.640085115476,-1.33290921668362,0.173558599769784,-7.67987998550144,1.59237700032833e-14,7.97981354339956e-12,"MSTRG.34629","SAMD5"
"38",90,"MSTRG.11937|JDP2-AS1",101.728070705236,-1.14304467270401,0.148904146341082,-7.6763790719819,1.63648393218222e-14,8.03731808559094e-12,"MSTRG.11937","JDP2-AS1"
"41",94,"MSTRG.35878|YWHAG",10315.3358141066,-1.25641789666851,0.164051126815703,-7.65869714555503,1.87828742005755e-14,8.83234686610468e-12,"MSTRG.35878","YWHAG"
"42",95,"MSTRG.10777|HS6ST3",1177.71261066843,-1.62603402533988,0.212615163656311,-7.64778013654917,2.04478437337615e-14,9.51405882862869e-12,"MSTRG.10777","HS6ST3"
"43",97,"MSTRG.32903|LY86-AS1",101.650718185784,-2.14842450730866,0.281272213808074,-7.63823940595366,2.20212115029031e-14,1.00348617613538e-11,"MSTRG.32903","LY86-AS1"
"46",102,"MSTRG.29548|HOPX",1546.68675276554,-1.33439698775323,0.175155516454697,-7.61835547496651,2.56927938084409e-14,1.11340477639285e-11,"MSTRG.29548","HOPX"
"47",103,"MSTRG.12656|SCG5",2299.80720963068,-1.20547378813057,0.158303396340403,-7.61495846582102,2.63776275764471e-14,1.12956719034168e-11,"MSTRG.12656","SCG5"
"52",108,"MSTRG.866|C1orf216",1601.48614124175,-1.31946643451196,0.175186361602694,-7.53178742021248,5.00503958698006e-14,2.048451479849e-11,"MSTRG.866","C1orf216"
"55",115,"MSTRG.32376|ANXA6",3169.60862150786,-1.04388329213945,0.139670949625168,-7.47387552630591,7.78667998531358e-14,2.99292894531157e-11,"MSTRG.32376","ANXA6"
"63",123,"MSTRG.26273|MCHR1",192.017009242433,-2.04033107474217,0.274036838327488,-7.44546276038941,9.66051801156762e-14,3.47166030201066e-11,"MSTRG.26273","MCHR1"
"68",128,"MSTRG.659|TRNP1",891.073222439148,-1.18439626705419,0.160466200401614,-7.38097034820969,1.57140005089924e-13,5.42648633201941e-11,"MSTRG.659","TRNP1"
"69",129,"MSTRG.11823|TTC9",744.073983524845,-1.25860875465615,0.170554821077374,-7.37949678998034,1.58888911831562e-13,5.44434703936334e-11,"MSTRG.11823","TTC9"
"73",134,"MSTRG.32181|PCDHA4",62.8576218415605,-3.48755559042441,0.477289448525301,-7.30700333141671,2.73165787762374e-13,9.01080160497945e-11,"MSTRG.32181","PCDHA4"
"78",144,"MSTRG.36481|GRM8",168.73045712481,-1.6616405059737,0.230609326582515,-7.20543496916699,5.78588525638704e-13,1.77602569515847e-10,"MSTRG.36481","GRM8"
"79",145,"MSTRG.27453|TAFA1",256.62146191076,-3.66080977892043,0.509199421992015,-7.1893439403351,6.51033854418501e-13,1.98462058158666e-10,"MSTRG.27453","TAFA1"
"81",150,"MSTRG.6147|NELL1",408.583591671878,-2.06200660390764,0.290473450670326,-7.09877821587185,1.25864601769405e-12,3.70897808494081e-10,"MSTRG.6147","NELL1"
"83",152,"MSTRG.21511|EHD3",2133.13011003809,-1.08846221929979,0.153444034351351,-7.09354536916999,1.30719073668357e-12,3.80134506203206e-10,"MSTRG.21511","EHD3"
"91",163,"MSTRG.3450|SMYD2",687.644550461099,-1.28951133674056,0.183870285028577,-7.01315787126853,2.32998284665011e-12,6.31839888267657e-10,"MSTRG.3450","SMYD2"
"92",164,"MSTRG.29651|PARM1",1287.15359358604,-1.61067516726101,0.229758185218572,-7.01030592546138,2.37797586165173e-12,6.39911702111215e-10,"MSTRG.29651","PARM1"
"95",169,"MSTRG.37929|MSC-AS1",178.506499456203,-1.84130151717555,0.263986947626222,-6.97497180725253,3.05932159932639e-12,8.00166469428552e-10,"MSTRG.37929","MSC-AS1"
"96",170,"MSTRG.4831|PPP3CB",2537.74465591097,-1.41709270169188,0.203509935064288,-6.96326054668645,3.32486074333382e-12,8.64502909275537e-10,"MSTRG.4831","PPP3CB"
"98",172,"MSTRG.30802|LINC02236",13.40827799485,-1.93112657098049,0.277883390566388,-6.94941344656986,3.66808085776326e-12,9.42654128342161e-10,"MSTRG.30802","LINC02236"
"99",173,"MSTRG.21123|MYT1L",1655.37183776275,-1.58934147546695,0.229104948120009,-6.93717655820524,4.00013783574069e-12,1.02204677812376e-09,"MSTRG.21123","MYT1L"
