miRNA,Targetted_mRNA
hsa-let-7d-3p,GPR179
hsa-miR-23c,GABRB3
hsa-miR-26b-3p,nill
hsa-miR-103a-2-5p,CACNG8
hsa-miR-103a-2-5p,MAP3K9
hsa-miR-103a-2-5p,PCDHGC5
hsa-miR-561-5p,nill
hsa-miR-758-3p,FAXC
hsa-miR-758-3p,ALOXE3
hsa-miR-1233-3p,CHRNA2
hsa-miR-1233-3p,LYPD5
hsa-miR-1233-3p,OPCML
hsa-miR-1233-3p,CAMKK1
hsa-miR-1233-3p,SEC16B
hsa-miR-1233-3p,HNF4A
hsa-miR-1233-3p,LZTS1
hsa-miR-1233-3p,PRSS16
hsa-miR-1233-3p,DRP2
hsa-miR-1233-3p,PDE2A
hsa-miR-1233-3p,SYP
hsa-miR-1233-3p,KALRN
hsa-miR-1233-3p,SYNGR1
hsa-miR-1233-3p,AQP3
hsa-miR-1233-3p,HTR3B
hsa-miR-1233-3p,SYNGAP1
hsa-miR-1233-3p,GABRA3
hsa-miR-1233-3p,SOHLH1
hsa-miR-1233-3p,KLHL3
hsa-miR-1233-3p,ACOT7
hsa-miR-1233-3p,PPFIA4
hsa-miR-1233-3p,OSBPL3
hsa-miR-1233-3p,SYN3
hsa-miR-1233-3p,ECM1
hsa-miR-1233-3p,KCNA4
hsa-miR-1233-3p,NEFM
hsa-miR-1233-3p,SPTB
hsa-miR-1233-3p,STYXL2
hsa-miR-1468-5p,NPY5R
hsa-miR-1468-5p,KNDC1
hsa-miR-1468-5p,DNM1
hsa-miR-1908-3p,PLEKHG5
hsa-miR-1908-3p,SSTR3
hsa-miR-1908-3p,HPCAL4
hsa-miR-1908-3p,AP1S1
hsa-miR-1908-3p,KIAA0513
hsa-miR-1908-3p,SLC45A4
hsa-miR-1908-3p,RNF43
hsa-miR-1908-3p,ELMOD1
hsa-miR-1908-3p,THY1
hsa-miR-1908-3p,DMAC2
hsa-miR-1908-3p,CORO6
hsa-miR-1908-3p,GPR78
hsa-miR-1908-3p,RCOR2
hsa-miR-1908-3p,GAS7
hsa-miR-1908-3p,CACNB2
hsa-miR-1908-3p,GFRA2
hsa-miR-1908-3p,SMPD3
hsa-miR-1908-3p,LRRC2
hsa-miR-1908-3p,SV2B
hsa-miR-1908-3p,FRMPD4
hsa-miR-1908-3p,SRGAP3
hsa-miR-1908-3p,CAMK2A
hsa-miR-1908-3p,SVOP
hsa-miR-1908-3p,NEFH
hsa-miR-1908-3p,PPP3CB
hsa-miR-1908-3p,NTSR1
hsa-miR-1908-3p,IL1RL2
hsa-miR-1908-3p,NXPH3
hsa-miR-1908-3p,MYT1L
hsa-miR-1908-3p,FAM163B
hsa-miR-1908-3p,BDKRB2
hsa-miR-1908-3p,NSG1
hsa-miR-1908-3p,KCNA1
hsa-miR-1908-3p,HTR1A
hsa-miR-1908-3p,DBH
hsa-miR-1908-3p,GABRA3
hsa-miR-1908-3p,GPR179
hsa-miR-1908-3p,LYPD5
hsa-miR-1908-3p,FBXL19
hsa-miR-1908-3p,PAX7
hsa-miR-1908-3p,VSTM5
hsa-miR-1908-3p,RHOBTB2
hsa-miR-1908-3p,TBXT
hsa-miR-1908-3p,NRXN3
hsa-miR-1908-3p,R3HDM1
hsa-miR-1908-3p,TRIM37
hsa-miR-1908-3p,ULBP1
hsa-miR-1908-3p,NICN1
hsa-miR-1908-3p,FAXC
hsa-miR-1908-3p,KLHL23
hsa-miR-1908-3p,COL22A1
hsa-miR-1908-3p,KCTD8
hsa-miR-1908-3p,HSPA12A
hsa-miR-1908-3p,GRM7
hsa-miR-1908-3p,HOPX
hsa-miR-1908-3p,FAM3C
hsa-miR-1908-3p,TTC22
hsa-miR-1908-3p,MARCHF4
hsa-miR-1908-3p,DMTN
hsa-miR-1908-3p,CALM3
hsa-miR-1908-3p,PRKCE
hsa-miR-1908-3p,CGREF1
hsa-miR-1908-3p,STEAP1
hsa-miR-1908-3p,KNCN
hsa-miR-1908-3p,LRRC73
hsa-miR-1908-3p,MCHR2
hsa-miR-1908-3p,ATG9A
hsa-miR-1908-3p,CA10
hsa-miR-1908-3p,RELL2
hsa-miR-1908-3p,PRICKLE1
hsa-miR-1908-3p,UBE2QL1
hsa-miR-1908-3p,RFX8
hsa-miR-1908-3p,ZNF736
hsa-miR-1908-3p,ANXA6
hsa-miR-1908-3p,PCSK2
hsa-miR-1908-3p,CDC6
hsa-miR-1908-3p,KLHL3
hsa-miR-1908-3p,NOXO1
hsa-miR-1908-3p,EPHA6
hsa-miR-1908-3p,MICAL2
hsa-miR-1908-3p,GPR6
hsa-miR-1908-3p,HECW1
hsa-miR-1908-3p,RABGEF1
hsa-miR-1908-3p,VSTM2A
hsa-miR-1908-3p,HEXIM2
hsa-miR-1908-3p,SLC38A7
hsa-miR-1908-3p,STK32C
hsa-miR-1908-3p,CALN1
hsa-miR-1908-3p,PCDHA7
hsa-miR-1908-3p,KIRREL2
hsa-miR-1908-3p,FBN3
hsa-miR-1908-3p,ACTRT3
hsa-miR-1908-3p,ABCC12
hsa-miR-1908-3p,KCNH5
hsa-miR-1908-3p,TMEM130
hsa-miR-1908-3p,TPH2
hsa-miR-1908-3p,ACOT7
hsa-miR-1908-3p,ADPRHL1
hsa-miR-1908-3p,SPTBN2
hsa-miR-1908-3p,CYP26B1
hsa-miR-1908-3p,ITPR1
hsa-miR-1908-3p,OSBPL10
hsa-miR-1908-3p,DIRAS2
hsa-miR-1908-3p,RFK
hsa-miR-1908-3p,LAMC2
hsa-miR-1908-3p,ISLR2
hsa-miR-1908-3p,FAM234B
hsa-miR-1908-3p,MPP3
hsa-miR-1908-3p,PPL
hsa-miR-1908-3p,HYAL3
hsa-miR-1908-3p,RTCA
hsa-miR-1908-3p,RASAL1
hsa-miR-1908-3p,KLK5
hsa-miR-1908-3p,CYB561
hsa-miR-1908-3p,DGKB
hsa-miR-1908-3p,RBFOX3
hsa-miR-1908-3p,EFNB3
hsa-miR-1908-3p,AMPH
hsa-miR-1908-3p,LIPC
hsa-miR-1908-3p,KRT5
hsa-miR-1908-3p,IGFBPL1
hsa-miR-1908-3p,LRRC38
hsa-miR-1908-3p,HTR4
hsa-miR-1908-3p,TACR2
hsa-miR-1908-3p,LNX1
hsa-miR-1908-3p,CNGB1
hsa-miR-1908-3p,TMEM233
hsa-miR-1908-3p,EGR3
hsa-miR-1908-3p,CA9
hsa-miR-1908-3p,CNTN5
hsa-miR-3127-3p,PLEKHG5
hsa-miR-3127-3p,NOXO1
hsa-miR-3127-3p,PTPN5
hsa-miR-3127-3p,SSTR3
hsa-miR-3127-3p,FBXL19
hsa-miR-3127-3p,DPP6
hsa-miR-3127-3p,ST8SIA5
hsa-miR-3127-3p,THY1
hsa-miR-3127-3p,ULBP1
hsa-miR-3127-3p,DNAJC5
hsa-miR-3127-3p,GSG1
hsa-miR-3127-3p,CALN1
hsa-miR-3127-3p,PTPRT
hsa-miR-3127-3p,RASGRF1
hsa-miR-3127-3p,RCOR2
hsa-miR-3127-3p,SLC22A25
hsa-miR-3127-3p,SPTBN2
hsa-miR-3127-3p,FAM78B
hsa-miR-3127-3p,RBMS2
hsa-miR-3127-3p,ATP2B3
hsa-miR-3127-3p,PHYHIP
hsa-miR-3127-3p,TTC9
hsa-miR-3127-3p,HPCAL4
hsa-miR-3127-3p,ADD2
hsa-miR-3127-3p,KCNJ6
hsa-miR-3127-3p,NTSR1
hsa-miR-3127-3p,SLC7A4
hsa-miR-3127-3p,CALM3
hsa-miR-3127-3p,NXPH3
hsa-miR-3127-3p,SLC8A1
hsa-miR-3127-3p,BDKRB2
hsa-miR-3127-3p,SMIM43
hsa-miR-3127-3p,CACNA1E
hsa-miR-3127-3p,HTR6
hsa-miR-3127-3p,TRNP1
hsa-miR-3127-3p,LRRC14B
hsa-miR-3127-3p,EPHA10
hsa-miR-3127-3p,SYNGAP1
hsa-miR-3127-3p,EPOP
hsa-miR-3127-3p,RCAN2
hsa-miR-3127-3p,GRM4
hsa-miR-3127-3p,BASP1
hsa-miR-3127-3p,GPR162
hsa-miR-3127-3p,ARMCX1
hsa-miR-3127-3p,KLHL3
hsa-miR-3127-3p,PCDH7
hsa-miR-3127-3p,FGF12
hsa-miR-3127-3p,KCNA2
hsa-miR-3127-3p,DMTN
hsa-miR-3127-3p,KCNA1
hsa-miR-3127-3p,CYP26B1
hsa-miR-3127-3p,CNTN6
hsa-miR-3127-3p,PIP5K1C
hsa-miR-3127-3p,PLCD4
hsa-miR-3127-3p,PNMA6A
hsa-miR-3127-3p,DCLK3
hsa-miR-3127-3p,MATK
hsa-miR-3127-3p,HS6ST3
hsa-miR-3127-3p,SRRM4
hsa-miR-3127-3p,LZTS1
hsa-miR-3127-3p,COL10A1
hsa-miR-3127-3p,ADAMTS3
hsa-miR-3127-3p,TRIM58
hsa-miR-3127-3p,MAGI1
hsa-miR-3127-3p,SLC7A14
hsa-miR-3127-3p,CLSTN2
hsa-miR-3127-3p,MOAP1
hsa-miR-3127-3p,LCT
hsa-miR-3127-3p,BSN
hsa-miR-3127-3p,PIWIL1
hsa-miR-3127-3p,GRK3
hsa-miR-3127-3p,GRB7
hsa-miR-3127-3p,TMEM59L
hsa-miR-3127-3p,KIF21A
hsa-miR-3127-3p,KRT5
hsa-miR-3127-3p,RIMBP3C
hsa-miR-3127-3p,LRTM2
hsa-miR-3127-3p,SLC26A11
hsa-miR-3180-5p,PRRT2
hsa-miR-3180-5p,FAM189B
hsa-miR-3180-5p,RUSC1
hsa-miR-3180-5p,COL26A1
hsa-miR-3180-5p,NSG1
hsa-miR-3180-5p,JPT1
hsa-miR-3180-5p,HAS1
hsa-miR-3180-5p,OPCML
hsa-miR-3180-5p,TTYH3
hsa-miR-3180-5p,PCDHGC5
hsa-miR-3180-5p,MACROD2
hsa-miR-3180-5p,CNTNAP5
hsa-miR-3180-5p,MATK
hsa-miR-3180-5p,CDYL2
hsa-miR-3180-5p,RNF165
hsa-miR-3180-5p,GSG1
hsa-miR-3180-5p,TTBK2
hsa-miR-3180-5p,ZNF575
hsa-miR-3180-5p,FADS6
hsa-miR-3180-5p,CEP170B
hsa-miR-3180-5p,KCNK9
hsa-miR-3180-5p,SHANK1
hsa-miR-3180-5p,LZTS1
hsa-miR-3180-5p,TUSC3
hsa-miR-3180-5p,SLC6A7
hsa-miR-3180-5p,FRMPD4
hsa-miR-3180-5p,FSTL4
hsa-miR-3180-5p,TRIM58
hsa-miR-3180-5p,TESC
hsa-miR-3180-5p,AGK
hsa-miR-3180-5p,FBXW7
hsa-miR-3180-5p,ARL15
hsa-miR-3180-5p,RET
hsa-miR-3180-5p,NEFH
hsa-miR-3180-5p,MAS1
hsa-miR-3180-5p,POU3F1
hsa-miR-3180-5p,STXBP1
hsa-miR-3180-5p,SYP
hsa-miR-3180-5p,RASAL1
hsa-miR-3180-5p,SERPINI1
hsa-miR-3180-5p,NXPH3
hsa-miR-3180-5p,SEZ6L2
hsa-miR-3180-5p,YWHAG
hsa-miR-3180-5p,PAX7
hsa-miR-3180-5p,B3GNT4
hsa-miR-3180-5p,CCKBR
hsa-miR-3180-5p,BCL11A
hsa-miR-3180-5p,CACNB3
hsa-miR-3180-5p,LRRC38
hsa-miR-3180-5p,UNC13A
hsa-miR-3180-5p,ADGRA1
hsa-miR-3180-5p,EPHA10
hsa-miR-3180-5p,ITPR1
hsa-miR-3180-5p,MYO1H
hsa-miR-3180-5p,ANXA6
hsa-miR-3180-5p,RHOBTB2
hsa-miR-3180-5p,CELF6
hsa-miR-3180-5p,BEAN1
hsa-miR-3180-5p,GRB7
hsa-miR-4661-5p,CAMKK1
hsa-miR-4661-5p,GRM7
hsa-miR-4661-5p,NEFH
hsa-miR-4772-3p,nill
hsa-miR-4781-3p,nill
